ResponseId;IC1;IC2;IC3;Q1;A1;O1;A2;A2_8_TEXT;A2_a;A2_b;A2_b_5_TEXT;CB1;RB;CB3;DF1;DF2;SB1;TP1;OS1;MS;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q135_First Click;Q135_Last Click;Q135_Page Submit;Q135_Click Count;Q10;Q10_6_TEXT;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q11_7;Q11_8;Q18;Q19;Q19_12_TEXT;Q20;Q21;Q22;Q22_11_TEXT;Q23;Q23_10_TEXT;Q142;Q12;Q13;Q14;Q15;Q16;Q24;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;GENDER;GENDER_TEXT;AGE_ITEM;AGE_NUM;ETH_HISP;ETH_R;A6_15_TEXT;Q25
R_3dQYIR4YdUA2fFx;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;Yes;Bachelors (B.A., B.S., etc.);;iCloud Keychain;I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;Yes;;;Yes;;Yes;The passwords on paper are kinda outdated but they’re there. And I use chrome passwords and occasionally sync that to keychain so I can access on my iPhone;I use the same passwords for a similar category of accounts. For example I have the one password for education related accounts, one password for all social media accounts;A phrase but using letters and numbers to represent letters. And combination of caps randomly;Stronger and harder to guess;Yes;About equally secure;I used the same strategy for all;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;2.452;19.964;21.363;11;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Agree;I have some accounts saved there;1Password;;Slightly satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Saves passwords that I do not want to save;;;;;;;;Slightly likely;Somewhat Agree;Somewhat Agree;Somewhat Agree;Agree;Neither agree nor disagree;Somewhat Disagree;None of the above;High understanding;Full Understanding;Low understanding;High understanding;High understanding;No understanding;Man;;My age is:;22;Yes, Another Hispanic, Latino/a or Spanish origin;Other (Designation not listed here);Dominican;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3htj8ztBDcmrfAA;Yes;Yes;Yes;Yes;School of Engineering & Applied Science;;Full-time Faculty;;;;;I use KeePassXC to manage my passwords, use a different random password for every website or service, and store by Root.kdbx database encrypted in Dropbox to sync across devices;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);No;No;Yes;Yes;;Yes;"Your question said ""Have you EVER"" ... in the past I did things I do not do now.
 
 I use KeePassXC to generate random secure passwords, and depending on the website or application *may* store the password on Chrome (not for sensitive uses), or Apple Keychain. For sensitive uses (e.g., financial accounts), I don't store: I copy and paste from KeepassXC every time.";I'd like to share my enormous frustration with the GW 2FA, which is insidious as different websites log you out always and I'm getting 2FA on my phone all day long;mental cypher;It's one I have to remember;Yes;Somewhat less secure;Because I have to remember it;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a third-party manager (for example, Lastpass or Onepass).,I use a system provided password manager (for example, Apple's Keychain).;16.018;17.729;22.02;3;I don’t know (don’t remember, not sure);;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Somewhat Agree;To manage passwords!! I have hundreds of different ones;KeePass;;Extremely satisfied;I let the password manager create and store the password;Generate strong passwords;;None of the above;;;;;;;;Extremely unlikely;Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;None of the above;High understanding;Full Understanding;High understanding;Full Understanding;High understanding;High understanding;Woman;;My age is:;53;Yes, Another Hispanic, Latino/a or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2y2GlI4lTCKEApT;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Staff (non-faculty/administrative);;;;;I use the same password for everything;I remembered my passwords without writing them down or storing them digitally;Yes;;;;;;;I use the same password for everything;No strategy, just re-use;No strategy, just re-use;No;About equally secure;I think it's good enough, 8 characters, 1 symbol, what could go wrong?;I do not use a password manager.;6.744;6.744;21.213;1;Other;I've never heard of this before;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Strongly Disagree;;;;;;;;;;;I didn't even know it was a thing;No;;yes so I could have more complex passwords and also not use the same password for everything;;Extremely likely;Somewhat Disagree;Strongly Disagree;Somewhat Disagree;Strongly Disagree;Somewhat Disagree;Strongly Disagree;None of the above;No understanding;Medium understanding;Low understanding;Medium understanding;No understanding;Low understanding;Woman;;My age is:;26;Prefer not to disclose;Black or African American;;I want my email to be entered into the $10 Amazon gift card raffle
R_22nAf2QLwlL5Efj;Yes;Yes;Yes;Yes;Other;Office of Vice President for Research;Staff (non-faculty/administrative);;;;;Unify as much as possible to not forget.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;No;No;;No;When options to save passwords in the browser or system-provided manager are available, I utilize them to keep the passwords saved. I save my passwords in a folder in my email, and also have frequently used passwords memorized.;N/A;Making it similar to my passwords for other accounts;To make sure it's easily remembered;Yes;About equally secure;I unify my passwords as much as possible, so the level of security is about the same.;I save my passwords in the browser (for example, passwords saved in Chrome).;18.201;32.671;37.947;11;I first heard about it in this study;;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Quick and easy logins;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;;;;;;;Moderately likely;Somewhat Disagree;Disagree;Disagree;Disagree;Disagree;Somewhat Agree;None of the above;Medium understanding;High understanding;No understanding;High understanding;Low understanding;Low understanding;Woman;;My age is:;28;No, not of Hispanic, Latino/a/x, or Spanish origin;Korean;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_XFVBHahMsXLyFKF;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Full-time Faculty;;;;;Not very systematically. I tend to use variations of the same password for multiple accounts.;I remembered my passwords without writing them down or storing them digitally;Yes;;;;;;;no;Not sure. Used an attribute of a family member plus birth months.;"seems ""strong enough"" and easy to remember.";No;About equally secure;convenience;I do not use a password manager.;10.721;14.257;22.825;3;Media (Internet, TV, radio, etc);;Somewhat Agree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;;;;;;;;;;;convenience;No;;possibly. Security combined with ease of use.;;Moderately likely;Disagree;Disagree;Somewhat Disagree;Disagree;Disagree;Somewhat Disagree;None of the above;Medium understanding;High understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Man;;My age is:;71;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies
R_2cef6TRRJc3wCwk;Yes;Yes;Yes;Yes;Other;Athletics;Staff (non-faculty/administrative);;;;;keep a running written record of them (both hard copy and in my cell phone - notes section).;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;No;;;;;;For those passwords I use frequently I can remember them. For others, I write them down.;No.;combination of words and numbers from my work;easier to remember;No;About equally secure;I believe all of my passwords for my personal data (e.g., banking, GW) are secure.;I use a system provided password manager (for example, Apple's Keychain).;6.143;50.862;57.944;3;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;easy and only use it on my iPhone for ease and on my chrome for sites I don't care about the overall security of my password (e.g., Twitter);Apple Keychain;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;;;;;;;Slightly likely;Somewhat Agree;Agree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Disagree;None of the above;Medium understanding;Medium understanding;No understanding;No understanding;No understanding;Low understanding;Woman;;Prefer not to disclose;;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2aJhfKtFj9Jn3Wx;Yes;Yes;Yes;Yes;Other;Division for Student Affairs;Staff (non-faculty/administrative);;;;;For anything associated with my GW staff email, I use the same or similar password.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;Yes;Yes;;Yes;"I remember my passwords, I store my passwords, I save my passwords in browsers, as well as a ""keychain""";No;Something personal but memorable;Because it was personal to me, yet memorable;Yes;About equally secure;I feel confident in my password choice;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;5.536;7.348;45.826;2;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Easy;Chrome;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Entering passwords on an incompatible device where the password manger cannot be installed;;;;;;;;Extremely likely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;None of the above;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Woman;;Prefer not to disclose;;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_3lSvqkhupfhJnd0;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;No;Bachelors (B.A., B.S., etc.);;I have very similar passwords for all my accounts. They all use the same word with a combination of letters and punctuation;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files;Yes;No;No;;;;For passwords that I have forgotten multiple times in the past or for passwords that have been given to me, I store them digitally.;N/A;I used the same password I use for other things.;So it would be easy to remember.;Yes;About equally secure;Because it’s the same password I use for other accounts;I save my passwords in the browser (for example, passwords saved in Chrome).;24.717;53.1;55.676;7;I first heard about it in this study;;Somewhat Disagree;Strongly Disagree;Somewhat Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Somewhat Disagree;For convenience;Chrome;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;;;;;;;Slightly likely;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;None of the above;Low understanding;Full Understanding;Medium understanding;Full Understanding;High understanding;High understanding;Woman;;My age is:;19;No, not of Hispanic, Latino/a/x, or Spanish origin;Asian Indian;;I am willing to be contacted via email for follow-up studies
R_22nuAFwhBYNb7Wf;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Staff (non-faculty/administrative);;;;;I save them in an excel file which is password protected.;I stored my passwords in a digital file or files,I used a third-party password manager (for example, Lastpass or Onepass);No;No;No;;Yes;;I only use Lastpass for my personal accounts, again i save my work passwords in a password protected document.;No not really.;I usually use the last name of my favorite celebrity with a year and symbols.;I've been doing that since the beginning.;Yes;Somewhat more secure;Since it deals with company items I'd like to keep that more secure.;I do not use a password manager.;9.954;18.362;21.644;2;Other People (friends, family, etc, but not at work);;Somewhat Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;;;;;;;;;;;I don't use it for company but for personal. Last Pass.;Yes;I use it for personal.;;Yes again I use it for personal use.;Extremely likely;Agree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;None of the above;Medium understanding;Full Understanding;High understanding;Low understanding;Medium understanding;High understanding;Woman;;Prefer not to disclose;;No, not of Hispanic, Latino/a/x, or Spanish origin;Black or African American;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_yxvMp4FdgcdWIQF;Yes;Yes;Yes;Yes;School of Business;;Full-time Faculty;;;;;Different passwords across accounts;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a third-party password manager (for example, Lastpass or Onepass),I used a system-provided password manager (for example, Apple's Keychain);No;No;Yes;Yes;Yes;Yes;Mostly Hope for keychain or site to remember my password. If not, I try memor, if that doesn’t work I either quit or look up in my electronic files;No;Personally created;Easy;Yes;About equally secure;Safe but memorable to me;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;5.382;29.895;31.064;8;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Disagree;Somewhat Agree;Ease;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Saves passwords that I do not want to save;;;;;;;;Extremely likely;Somewhat Agree;Agree;Agree;Neither agree nor disagree;Somewhat Disagree;Agree;None of the above;Full Understanding;Full Understanding;High understanding;High understanding;High understanding;High understanding;Woman;;My age is:;65;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
